"","rhs","est"
"1","wld_1",0.58
"2","wld_2",0.42
"3","wld_3",0.63
"4","wld_4",0.55
"5","rla_1",0.58
"6","rla_2",0.6
"7","rla_3",0.56
"8","rla_4",0.59
"9","rla_5",0.71
"10","rla_6",0.63
"11","wlb_1",0.62
"12","wlb_2",0.61
"13","wlb_3",0.59
"14","wlb_4",0.63
"15","opp_1",0.56
"16","opp_2",0.74
"17","opp_3",0.68
"18","mng_1",0.71
"19","mng_2",0.68
"20","inf_1",0.44
"21","inf_2",0.39
"22","inf_3",0.41
"23","inf_4",0.46
"24","inf_5",0.44
"25","inf_6",0.45
"26","scc_1",0.66
"27","scc_2",0.58
"28","scc_3",0.38
"29","scs_1",0.74
"30","scs_2",0.7
"31","scs_3",0.52
"32","sec_1",0.85
"33","sec_2",0.8
"34","sec_3",0.73
"35","sec_4",0.8
"36","brt_1",0.5
"37","brt_2",0.47
"38","brt_3",0.4
"39","brt_4",0.41
"40","opp",0.86
"41","mng",0.91
"42","inf",1.56
"43","soc",0.79
"44","sec",0.57
"45","wld",1
"46","rla",0.99
"47","wlb",1.11
"48","job_demands",0.72
"49","job_resources",-0.83
"50","job_demands",-0.71
"51","t1",-1.05
"52","t2",-0.04
"53","t3",1.05
"54","t1",-1.69
"55","t2",-0.71
"56","t3",0
"57","t4",1.16
"58","t1",-2.16
"59","t2",-0.77
"60","t3",0.12
"61","t4",1.19
"62","t1",-2.05
"63","t2",-0.48
"64","t3",0.13
"65","t4",1.33
"66","t1",-1.33
"67","t2",-0.1
"68","t3",0.44
"69","t4",0.6
"70","t5",1.07
"71","t6",1.54
"72","t1",-1.39
"73","t2",-0.09
"74","t3",0.35
"75","t4",0.69
"76","t5",1.21
"77","t6",1.87
"78","t1",-1.3
"79","t2",-0.3
"80","t3",0.01
"81","t4",0.26
"82","t5",0.86
"83","t6",1.74
"84","t1",-1.59
"85","t2",-0.45
"86","t3",0.17
"87","t4",0.55
"88","t5",1.07
"89","t6",1.59
"90","t1",-0.63
"91","t2",0.18
"92","t3",0.52
"93","t4",0.98
"94","t5",1.74
"95","t6",2.16
"96","t1",-0.54
"97","t2",0.19
"98","t3",0.49
"99","t4",0.86
"100","t5",1.59
"101","t6",1.95
"102","t1",-0.85
"103","t2",-0.1
"104","t3",0.27
"105","t4",1.11
"106","t1",-1.19
"107","t2",-0.34
"108","t3",-0.13
"109","t4",0.96
"110","t1",-1.14
"111","t2",-0.23
"112","t3",0.15
"113","t4",1.27
"114","t1",-1.02
"115","t2",-0.15
"116","t3",0.21
"117","t4",1.07
"118","t1",-2.16
"119","t2",-1.39
"120","t3",-0.76
"121","t4",0.37
"122","t1",-2.57
"123","t2",-2.32
"124","t3",-1.33
"125","t4",0
"126","t1",-2.57
"127","t2",-1.8
"128","t3",-0.63
"129","t4",0.37
"130","t1",-2.32
"131","t2",-1.87
"132","t3",-0.63
"133","t4",0.76
"134","t1",-2.16
"135","t2",-1.54
"136","t3",-0.35
"137","t4",0.77
"138","t1",-2.16
"139","t2",-1.54
"140","t3",-0.77
"141","t4",0.57
"142","t1",-1.95
"143","t2",-1.33
"144","t3",-0.42
"145","t4",0.61
"146","t1",-1.95
"147","t2",-0.85
"148","t3",0.45
"149","t4",1.3
"150","t1",-2.16
"151","t2",-1.64
"152","t3",-0.72
"153","t4",0.76
"154","t1",-2.32
"155","t2",-1.3
"156","t3",-0.18
"157","t4",0.96
"158","t1",-2.32
"159","t2",-1.8
"160","t3",-1.07
"161","t4",0.37
"162","t1",-2.16
"163","t2",-1.43
"164","t3",-0.35
"165","t4",0.85
"166","t1",-2.57
"167","t2",-1.43
"168","t3",-0.61
"169","t4",0.57
"170","t1",-1.54
"171","t2",-0.45
"172","t3",0.49
"173","t4",1.47
"174","t1",-1.64
"175","t2",-0.94
"176","t3",-0.25
"177","t4",0.51
"178","t1",-1.5
"179","t2",-0.71
"180","t3",-0.06
"181","t4",0.54
"182","t1",-1.16
"183","t2",-0.18
"184","t3",0.71
"185","t4",1.59
"186","t1",-1.69
"187","t2",-1.16
"188","t3",-0.72
"189","t4",0
"190","t1",-1.54
"191","t2",-1
"192","t3",-0.58
"193","t4",0.25
"194","t1",-1.02
"195","t2",-0.14
"196","t3",0.15
"197","t4",0.57
"198","t1",-1.74
"199","t2",-1.02
"200","t3",-0.6
"201","t4",0.14
"202","t1",-1.87
"203","t2",-0.66
"204","t3",0.57
"205","t4",1.8
"206","t1",-1.09
"207","t2",-0.03
"208","t3",1.02
"209","t4",1.87
"210","t1",-0.94
"211","t2",0.55
"212","t3",1.5
"213","t4",2.16
"214","t1",-1.54
"215","t2",-0.27
"216","t3",0.71
"217","t4",1.8
"218","wld_1",0.32
"219","wld_2",0.65
"220","wld_3",0.2
"221","wld_4",0.39
"222","rla_1",0.34
"223","rla_2",0.3
"224","rla_3",0.38
"225","rla_4",0.3
"226","rla_5",0
"227","rla_6",0.22
"228","wlb_1",0.14
"229","wlb_2",0.17
"230","wlb_3",0.22
"231","wlb_4",0.13
"232","opp_1",0.45
"233","opp_2",0.06
"234","opp_3",0.19
"235","mng_1",0.07
"236","mng_2",0.14
"237","inf_1",0.32
"238","inf_2",0.49
"239","inf_3",0.42
"240","inf_4",0.27
"241","inf_5",0.33
"242","inf_6",0.32
"243","scc_1",0.29
"244","scc_2",0.45
"245","scc_3",0.76
"246","scs_1",0.1
"247","scs_2",0.21
"248","scs_3",0.55
"249","sec_1",0.05
"250","sec_2",0.14
"251","sec_3",0.29
"252","sec_4",0.14
"253","brt_1",0.23
"254","brt_2",0.34
"255","brt_3",0.5
"256","brt_4",0.49
"257","wld",1
"258","rla",1
"259","wlb",1
"260","opp",1
"261","mng",1
"262","inf",1
"263","soc",1
"264","sec",1
"265","burnout",1
"266","job_resources",1
"267","job_demands",1
"268","wld_1",1
"269","wld_2",1
"270","wld_3",1
"271","wld_4",1
"272","rla_1",1
"273","rla_2",1
"274","rla_3",1
"275","rla_4",1
"276","rla_5",1
"277","rla_6",1
"278","wlb_1",1
"279","wlb_2",1
"280","wlb_3",1
"281","wlb_4",1
"282","opp_1",1
"283","opp_2",1
"284","opp_3",1
"285","mng_1",1
"286","mng_2",1
"287","inf_1",1
"288","inf_2",1
"289","inf_3",1
"290","inf_4",1
"291","inf_5",1
"292","inf_6",1
"293","scc_1",1
"294","scc_2",1
"295","scc_3",1
"296","scs_1",1
"297","scs_2",1
"298","scs_3",1
"299","sec_1",1
"300","sec_2",1
"301","sec_3",1
"302","sec_4",1
"303","brt_1",1
"304","brt_2",1
"305","brt_3",1
"306","brt_4",1
"307","",0
"308","",0
"309","",0
"310","",0
"311","",0
"312","",0
"313","",0
"314","",0
"315","",0
"316","",0
"317","",0
"318","",0
"319","",0
"320","",0
"321","",0
"322","",0
"323","",0
"324","",0
"325","",0
"326","",0
"327","",0
"328","",0
"329","",0
"330","",0
"331","",0
"332","",0
"333","",0
"334","",0
"335","",0
"336","",0
"337","",0
"338","",0
"339","",0
"340","",0
"341","",0
"342","",0
"343","",0
"344","",0
"345","",0
"346","",0
"347","",0
"348","",0
"349","",0
"350","",0
"351","",0
"352","",0
"353","",0
"354","",0
"355","",0
"356","",0
